productId,productName,price
A100,Smartphone,699.99
B200,Laptop,999.99
C300,Tablet,399.99
D400,Smartwatch,199.99
E500,Headphones,149.99
F600,Monitor,299.99
G700,Keyboard,79.99
H800,Mouse,49.99
I900,Printer,129.99
J100,Camera,549.99
K200,Speakers,179.99
L300,Router,89.99
M400,External Hard Drive,99.99
N500,USB Flash Drive,19.99
O600,Game Console,499.99
P700,Smart Home Hub,129.99
Q800,Fitness Tracker,89.99
R900,E-Reader,149.99
S100,Drone,999.99
T200,VR Headset,299.99
U300,Portable Charger,39.99
V400,Smart Light Bulb,24.99
W500,Wireless Earbuds,199.99
X600,Digital Photo Frame,129.99
Y700,Smart Thermostat,249.99
Z800,Electric Toothbrush,79.99
